Station,Date,Yearly max,Exceedance probability,Return periods
1118300,2010-03-30 00:00:00,355.6146,3.125,32.0
1118300,2004-04-14 00:00:00,162.40625,6.25,16.0
1118300,2005-10-15 00:00:00,154.125,9.375,10.666666666666666
1118300,2014-03-30 00:00:00,148.15094,12.5,8.0
1118300,2008-12-12 00:00:00,134.23334,15.625,6.4
1118300,1998-03-10 00:00:00,124.802086,18.75,5.333333333333333
1118300,2007-04-16 00:00:00,124.5625,21.875,4.571428571428571
1118300,1994-03-11 00:00:00,120.729164,25.0,4.0
1118300,2009-07-02 00:00:00,116.885414,28.125,3.5555555555555554
1118300,2001-06-18 00:00:00,109.9375,31.25,3.2
1118300,1999-02-03 00:00:00,104.510414,34.375,2.909090909090909
1118300,2011-12-08 00:00:00,101.25521,37.5,2.6666666666666665
1118300,2006-05-13 00:00:00,94.635414,40.625,2.4615384615384617
1118300,2018-01-13 00:00:00,92.385414,43.75,2.2857142857142856
1118300,1992-12-12 00:00:00,89.197914,46.875,2.1333333333333333
1118300,2013-06-08 00:00:00,87.00208,50.0,2.0
1118300,2019-01-25 00:00:00,82.16146,53.125,1.8823529411764706
1118300,1996-01-20 00:00:00,79.291664,56.25,1.7777777777777777
1118300,2000-04-22 00:00:00,71.82105,59.375,1.6842105263157894
1118300,1993-04-02 00:00:00,65.833336,62.5,1.6
1118300,2020-04-14 00:00:00,64.34062,65.625,1.5238095238095237
1118300,2003-03-03 00:00:00,62.0,68.75,1.4545454545454546
1118300,2017-10-30 00:00:00,61.37229,71.875,1.391304347826087
1118300,2015-03-27 00:00:00,60.235416,75.0,1.3333333333333333
1118300,1991-01-17 00:00:00,57.18421,78.125,1.28
1118300,2016-02-17 00:00:00,51.454166,81.25,1.2307692307692308
1118300,2012-04-23 00:00:00,46.7375,84.375,1.1851851851851851
1118300,1997-01-29 00:00:00,46.65,87.5,1.1428571428571428
1118300,2002-12-21 00:00:00,45.625,90.625,1.103448275862069
1118300,1990-12-05 00:00:00,30.729166,93.75,1.0666666666666667
1118300,1995-11-15 00:00:00,18.791666,96.875,1.032258064516129
1119382,2011-03-07 00:00:00,2924.4688,7.6923076923076925,13.0
1119382,2019-01-25 00:00:00,2105.0,15.384615384615385,6.5
1119382,2010-03-31 00:00:00,2042.3959,23.076923076923077,4.333333333333334
1119382,2013-06-14 00:00:00,1721.4062,30.76923076923077,3.25
1119382,2014-03-31 00:00:00,1567.5,38.46153846153847,2.5999999999999996
1119382,2018-04-17 00:00:00,1422.6875,46.15384615384615,2.166666666666667
1119382,2017-10-30 00:00:00,1274.8646,53.84615384615385,1.8571428571428572
1119382,2020-04-14 00:00:00,1156.3646,61.53846153846154,1.625
1119382,2016-02-25 00:00:00,961.67706,69.23076923076923,1.4444444444444444
1119382,2015-04-05 00:00:00,893.63544,76.92307692307693,1.2999999999999998
1119382,2009-12-28 00:00:00,489.45834,84.61538461538461,1.1818181818181819
1119382,2012-01-13 00:00:00,426.03125,92.3076923076923,1.0833333333333335
1119500,2005-10-15 00:00:00,6779.4253,3.125,32.0
1119500,2011-03-07 00:00:00,3548.9248,6.25,16.0
1119500,1998-03-10 00:00:00,3487.8125,9.375,10.666666666666666
1119500,1996-04-17 00:00:00,3318.6458,12.5,8.0
1119500,2007-04-16 00:00:00,2950.8333,15.625,6.4
1119500,1993-03-30 00:00:00,2905.2083,18.75,5.333333333333333
1119500,2010-03-31 00:00:00,2904.4792,21.875,4.571428571428571
1119500,2019-01-25 00:00:00,2588.9583,25.0,4.0
1119500,2008-12-13 00:00:00,2504.6875,28.125,3.5555555555555554
1119500,2003-12-18 00:00:00,2082.0833,31.25,3.2
1119500,2013-06-08 00:00:00,2071.2812,34.375,2.909090909090909
1119500,2018-04-17 00:00:00,2003.6459,37.5,2.6666666666666665
1119500,2006-06-26 00:00:00,1912.5,40.625,2.4615384615384617
1119500,2014-03-31 00:00:00,1866.4584,43.75,2.2857142857142856
1119500,2017-10-30 00:00:00,1689.9896,46.875,2.1333333333333333
1119500,2004-04-14 00:00:00,1664.5312,50.0,2.0
1119500,2020-04-14 00:00:00,1645.567,53.125,1.8823529411764706
1119500,1999-02-03 00:00:00,1331.9896,56.25,1.7777777777777777
1119500,1991-08-20 00:00:00,1307.6041,59.375,1.6842105263157894
1119500,1994-03-11 00:00:00,1265.2084,62.5,1.6
1119500,2016-02-26 00:00:00,1166.9783,65.625,1.5238095238095237
1119500,2015-04-05 00:00:00,1152.4736,68.75,1.4545454545454546
1119500,2002-12-21 00:00:00,1144.875,71.875,1.391304347826087
1119500,1992-12-18 00:00:00,1106.6459,75.0,1.3333333333333333
1119500,1990-10-14 00:00:00,1098.0416,78.125,1.28
1119500,2009-07-25 00:00:00,1082.5834,81.25,1.2307692307692308
1119500,2001-06-18 00:00:00,996.26044,84.375,1.1851851851851851
1119500,2000-12-18 00:00:00,963.40204,87.5,1.1428571428571428
1119500,1995-10-22 00:00:00,859.4583,90.625,1.103448275862069
1119500,1997-01-29 00:00:00,848.75,93.75,1.0666666666666667
