Station,Date,Yearly max,Exceedance probability,Return periods
1197000,2005-10-09 00:00:00,3922.5,3.125,32.0
1197000,2011-08-29 00:00:00,2321.4583,6.25,16.0
1197000,2000-06-07 00:00:00,1771.1979,9.375,10.666666666666666
1197000,1993-04-23 00:00:00,1649.875,12.5,8.0
1197000,2007-04-17 00:00:00,1609.2709,15.625,6.4
1197000,2003-03-30 00:00:00,1511.75,18.75,5.333333333333333
1197000,2004-04-02 00:00:00,1505.6459,21.875,4.571428571428571
1197000,2018-01-13 00:00:00,1422.9166,25.0,4.0
1197000,2014-07-29 00:00:00,1354.8438,28.125,3.5555555555555554
1197000,2006-01-19 00:00:00,1312.6354,31.25,3.2
1197000,1996-04-17 00:00:00,1218.0209,34.375,2.909090909090909
1197000,2001-04-14 00:00:00,1194.4375,37.5,2.6666666666666665
1197000,1995-10-22 00:00:00,1158.0312,40.625,2.4615384615384617
1197000,2010-03-31 00:00:00,1148.8334,43.75,2.2857142857142856
1197000,2013-06-14 00:00:00,1092.2188,46.875,2.1333333333333333
1197000,2016-02-25 00:00:00,1080.7604,50.0,2.0
1197000,2008-12-12 00:00:00,1078.1875,53.125,1.8823529411764706
1197000,1998-06-15 00:00:00,1076.7084,56.25,1.7777777777777777
1197000,1999-05-20 00:00:00,1044.9896,59.375,1.6842105263157894
1197000,1990-10-24 00:00:00,1006.26044,62.5,1.6
1197000,2019-01-25 00:00:00,931.82355,65.625,1.5238095238095237
1197000,2017-02-26 00:00:00,912.44794,68.75,1.4545454545454546
1197000,1991-11-23 00:00:00,872.09375,71.875,1.391304347826087
1197000,2009-06-19 00:00:00,734.6458,75.0,1.3333333333333333
1197000,1992-03-27 00:00:00,688.4792,78.125,1.28
1197000,2002-05-14 00:00:00,650.90625,81.25,1.2307692307692308
1197000,2015-04-14 00:00:00,642.3125,84.375,1.1851851851851851
1197000,1997-04-07 00:00:00,564.71875,87.5,1.1428571428571428
1197000,2020-01-12 00:00:00,520.8333,90.625,1.103448275862069
1197000,1994-12-25 00:00:00,421.5,93.75,1.0666666666666667
1197000,2012-12-22 00:00:00,381.3229,96.875,1.032258064516129
1197500,2011-09-09 00:00:00,7303.3335,3.125,32.0
1197500,2005-10-10 00:00:00,7096.6665,6.25,16.0
1197500,2007-04-17 00:00:00,5530.2085,9.375,10.666666666666666
1197500,2008-12-13 00:00:00,5254.375,12.5,8.0
1197500,2009-08-01 00:00:00,4441.771,15.625,6.4
1197500,1993-03-31 00:00:00,4305.433,18.75,5.333333333333333
1197500,2001-04-11 00:00:00,4244.1665,21.875,4.571428571428571
1197500,1996-01-21 00:00:00,4226.146,25.0,4.0
1197500,2006-01-20 00:00:00,4129.0625,28.125,3.5555555555555554
1197500,2003-03-31 00:00:00,4029.1667,31.25,3.2
1197500,1994-04-15 00:00:00,3891.5625,34.375,2.909090909090909
1197500,2000-06-08 00:00:00,3874.7917,37.5,2.6666666666666665
1197500,1998-06-17 00:00:00,3819.1667,40.625,2.4615384615384617
1197500,2013-06-15 00:00:00,3695.7292,43.75,2.2857142857142856
1197500,2014-07-30 00:00:00,3610.2083,46.875,2.1333333333333333
1197500,2010-03-15 00:00:00,3323.125,50.0,2.0
1197500,2004-09-20 00:00:00,3313.9583,53.125,1.8823529411764706
1197500,2018-11-04 00:00:00,3246.25,56.25,1.7777777777777777
1197500,1999-01-25 00:00:00,3220.4167,59.375,1.6842105263157894
1197500,2019-12-16 00:00:00,2837.0833,62.5,1.6
1197500,2016-02-26 00:00:00,2824.375,65.625,1.5238095238095237
1197500,1995-03-10 00:00:00,2581.237,68.75,1.4545454545454546
1197500,2017-04-07 00:00:00,2525.4167,71.875,1.391304347826087
1197500,1990-10-25 00:00:00,2460.8333,75.0,1.3333333333333333
1197500,1991-11-24 00:00:00,2331.1458,78.125,1.28
1197500,1997-04-07 00:00:00,2111.25,81.25,1.2307692307692308
1197500,2015-04-12 00:00:00,1996.875,84.375,1.1851851851851851
1197500,2002-05-15 00:00:00,1821.8085,87.5,1.1428571428571428
1197500,2020-04-15 00:00:00,1801.6666,90.625,1.103448275862069
1197500,2012-01-28 00:00:00,1649.6875,93.75,1.0666666666666667
1197500,1992-03-28 00:00:00,1533.3334,96.875,1.032258064516129
1199050,2005-10-09 00:00:00,1064.0104,3.125,32.0
1199050,2011-03-07 00:00:00,966.01044,6.25,16.0
1199050,2008-03-09 00:00:00,964.25,9.375,10.666666666666666
1199050,2007-04-16 00:00:00,805.4375,12.5,8.0
1199050,2018-09-27 00:00:00,740.9583,15.625,6.4
1199050,1996-01-20 00:00:00,679.2917,18.75,5.333333333333333
1199050,2000-12-18 00:00:00,672.625,21.875,4.571428571428571
1199050,2013-06-14 00:00:00,590.69794,25.0,4.0
1199050,1997-04-01 00:00:00,582.88544,28.125,3.5555555555555554
1199050,2006-01-19 00:00:00,569.5,31.25,3.2
1199050,1993-03-30 00:00:00,554.5208,34.375,2.909090909090909
1199050,2014-07-14 00:00:00,490.7021,37.5,2.6666666666666665
1199050,1999-09-17 00:00:00,451.84375,40.625,2.4615384615384617
1199050,2003-12-25 00:00:00,443.6875,43.75,2.2857142857142856
1199050,2010-03-31 00:00:00,440.8125,46.875,2.1333333333333333
1199050,2019-12-15 00:00:00,423.3125,50.0,2.0
1199050,2009-06-21 00:00:00,422.03125,53.125,1.8823529411764706
1199050,2016-02-26 00:00:00,380.58334,56.25,1.7777777777777777
1199050,2001-06-03 00:00:00,338.89584,59.375,1.6842105263157894
1199050,2017-04-05 00:00:00,330.3229,62.5,1.6
1199050,2002-11-18 00:00:00,328.35416,65.625,1.5238095238095237
1199050,1995-10-29 00:00:00,326.60416,68.75,1.4545454545454546
1199050,1994-04-14 00:00:00,317.47916,71.875,1.391304347826087
1199050,2004-09-19 00:00:00,312.2396,75.0,1.3333333333333333
1199050,2015-06-16 00:00:00,283.35416,78.125,1.28
1199050,1992-12-31 00:00:00,266.28946,81.25,1.2307692307692308
1199050,1990-12-31 00:00:00,250.8421,84.375,1.1851851851851851
1199050,1998-06-17 00:00:00,246.75,87.5,1.1428571428571428
1199050,1991-05-07 00:00:00,242.875,90.625,1.103448275862069
1199050,2020-05-02 00:00:00,179.65625,93.75,1.0666666666666667
1199050,2012-10-20 00:00:00,179.17708,96.875,1.032258064516129
1200000,2007-04-17 00:00:00,7704.479,3.225806451612903,31.0
1200000,2005-10-15 00:00:00,6293.4375,6.451612903225806,15.5
1200000,2011-08-29 00:00:00,6116.4585,9.67741935483871,10.333333333333334
1200000,2008-03-09 00:00:00,5488.646,12.903225806451612,7.75
1200000,1996-01-20 00:00:00,4631.0415,16.129032258064516,6.2
1200000,2006-01-19 00:00:00,4115.0,19.35483870967742,5.166666666666667
1200000,2003-03-22 00:00:00,3613.3333,22.58064516129032,4.428571428571429
1200000,1993-03-29 00:00:00,3181.6667,25.806451612903224,3.875
1200000,1999-09-17 00:00:00,3146.5789,29.03225806451613,3.444444444444444
1200000,2013-06-15 00:00:00,2968.8542,32.25806451612903,3.1
1200000,2010-03-31 00:00:00,2647.3958,35.483870967741936,2.818181818181818
1200000,2019-12-15 00:00:00,2462.2917,38.70967741935484,2.5833333333333335
1200000,2018-11-04 00:00:00,2462.0833,41.935483870967744,2.3846153846153846
1200000,2000-12-18 00:00:00,2370.0,45.16129032258064,2.2142857142857144
1200000,2001-03-31 00:00:00,2358.9583,48.38709677419355,2.0666666666666664
1200000,2014-03-31 00:00:00,2331.875,51.61290322580645,1.9375
1200000,1994-03-29 00:00:00,2156.875,54.83870967741935,1.823529411764706
1200000,2009-06-22 00:00:00,2042.0834,58.06451612903226,1.722222222222222
1200000,1995-11-13 00:00:00,2033.75,61.29032258064516,1.631578947368421
1200000,2016-02-26 00:00:00,1937.579,64.51612903225806,1.55
1200000,1997-04-01 00:00:00,1732.7084,67.74193548387096,1.4761904761904763
1200000,2015-04-05 00:00:00,1721.5625,70.96774193548387,1.409090909090909
1200000,2004-09-19 00:00:00,1620.5209,74.19354838709677,1.347826086956522
